Nutrient,Unit,1Value per 100 g,1 cup whole = 87.0g,1 cup sliced = 72.0g,1 piece whole = 20.0g
Proximates,,,,,
Water,g,92.12,80.14,66.33,18.42
Energy,kcal,22,19,16,4
Protein,g,2.5,2.17,1.8,0.5
Total lipid (fat),g,0.1,0.09,0.07,0.02
"Carbohydrate, by difference",g,4.3,3.74,3.1,0.86
"Fiber, total dietary",g,0.6,0.5,0.4,0.1
"Sugars, total",g,1.72,1.5,1.24,0.34
Minerals,,,,,
"Calcium, Ca",mg,18,16,13,4
"Iron, Fe",mg,0.4,0.35,0.29,0.08
"Magnesium, Mg",mg,9,8,6,2
"Phosphorus, P",mg,120,104,86,24
"Potassium, K",mg,448,390,323,90
"Sodium, Na",mg,6,5,4,1
"Zinc, Zn",mg,1.1,0.96,0.79,0.22
Vitamins,,,,,
"Vitamin C, total ascorbic acid",mg,0,0,0,0
Thiamin,mg,0.095,0.083,0.068,0.019
Riboflavin,mg,0.49,0.426,0.353,0.098
Niacin,mg,3.8,3.306,2.736,0.76
Vitamin B-6,mg,0.11,0.096,0.079,0.022
"Folate, DFE",µg,25,22,18,5
Vitamin B-12,µg,0.1,0.09,0.07,0.02
"Vitamin A, RAE",µg,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0
Vitamin E (alpha-tocopherol),mg,0.01,0.01,0.01,0
Vitamin D (D2 + D3),µg,0.1,0.1,0.1,0
Vitamin D,IU,3,3,2,1
Vitamin K (phylloquinone),µg,0,0,0,0
Lipids,,,,,
"Fatty acids, total saturated",g,0.014,0.012,0.01,0.003
"Fatty acids, total monounsaturated",g,0.002,0.002,0.001,0
"Fatty acids, total polyunsaturated",g,0.042,0.037,0.03,0.008
"Fatty acids, total trans",g,0,0,0,0
Cholesterol,mg,0,0,0,0
